"filename", "language", "PHP", "SCSS", "JavaScript", "CSS", "JSON", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\Project3200\scss\bootstrap\mixins\_hover.scss", "SCSS", 0, 23, 0, 0, 0, 0, 10, 5, 38
"c:\xampp\htdocs\Project3200\scss\bootstrap\mixins\_image.scss", "SCSS", 0, 13, 0, 0, 0, 0, 16, 8, 37
"c:\xampp\htdocs\Project3200\scss\bootstrap\mixins\_list-group.scss", "SCSS", 0, 17, 0, 0, 0, 0, 1, 4, 22
"c:\xampp\htdocs\Project3200\scss\bootstrap\mixins\_lists.scss", "SCSS", 0, 4, 0, 0, 0, 0, 2, 2, 8
"c:\xampp\htdocs\Project3200\scss\bootstrap\mixins\_nav-divider.scss", "SCSS", 0, 6, 0, 0, 0, 0, 3, 2, 11
"c:\xampp\htdocs\Project3200\scss\bootstrap\mixins\_pagination.scss", "SCSS", 0, 19, 0, 0, 0, 0, 1, 3, 23
"c:\xampp\htdocs\Project3200\scss\bootstrap\mixins\_reset-text.scss", "SCSS", 0, 16, 0, 0, 0, 0, 1, 1, 18
"c:\xampp\htdocs\Project3200\scss\bootstrap\mixins\_resize.scss", "SCSS", 0, 4, 0, 0, 0, 0, 1, 2, 7
"c:\xampp\htdocs\Project3200\scss\bootstrap\mixins\_screen-reader.scss", "SCSS", 0, 21, 0, 0, 0, 0, 9, 4, 34
"c:\xampp\htdocs\Project3200\scss\bootstrap\mixins\_size.scss", "SCSS", 0, 5, 0, 0, 0, 0, 1, 2, 8
"c:\xampp\htdocs\Project3200\scss\bootstrap\mixins\_table-row.scss", "SCSS", 0, 29, 0, 0, 0, 0, 5, 6, 40
"c:\xampp\htdocs\Project3200\scss\bootstrap\mixins\_text-emphasis.scss", "SCSS", 0, 12, 0, 0, 0, 0, 2, 3, 17
"c:\xampp\htdocs\Project3200\scss\bootstrap\mixins\_text-hide.scss", "SCSS", 0, 8, 0, 0, 0, 0, 2, 2, 12
"c:\xampp\htdocs\Project3200\scss\bootstrap\mixins\_text-truncate.scss", "SCSS", 0, 5, 0, 0, 0, 0, 2, 2, 9
"c:\xampp\htdocs\Project3200\scss\bootstrap\mixins\_transition.scss", "SCSS", 0, 14, 0, 0, 0, 0, 1, 2, 17
"c:\xampp\htdocs\Project3200\scss\bootstrap\mixins\_visibility.scss", "SCSS", 0, 4, 0, 0, 0, 0, 2, 3, 9
"c:\xampp\htdocs\Project3200\scss\bootstrap\utilities\_align.scss", "SCSS", 0, 6, 0, 0, 0, 0, 1, 2, 9
"c:\xampp\htdocs\Project3200\scss\bootstrap\utilities\_background.scss", "SCSS", 0, 14, 0, 0, 0, 0, 1, 5, 20
"c:\xampp\htdocs\Project3200\scss\bootstrap\utilities\_borders.scss", "SCSS", 0, 52, 0, 0, 0, 0, 7, 17, 76
"c:\xampp\htdocs\Project3200\scss\bootstrap\utilities\_clearfix.scss", "SCSS", 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\xampp\htdocs\Project3200\scss\bootstrap\utilities\_display.scss", "SCSS", 0, 13, 0, 0, 0, 0, 7, 7, 27
"c:\xampp\htdocs\Project3200\scss\bootstrap\utilities\_embed.scss", "SCSS", 0, 33, 0, 0, 0, 0, 1, 6, 40
"c:\xampp\htdocs\Project3200\scss\bootstrap\utilities\_flex.scss", "SCSS", 0, 39, 0, 0, 0, 0, 4, 9, 52
"c:\xampp\htdocs\Project3200\scss\bootstrap\utilities\_float.scss", "SCSS", 0, 8, 0, 0, 0, 0, 1, 3, 12
"c:\xampp\htdocs\Project3200\scss\bootstrap\utilities\_overflow.scss", "SCSS", 0, 3, 0, 0, 0, 0, 1, 2, 6
"c:\xampp\htdocs\Project3200\scss\bootstrap\utilities\_position.scss", "SCSS", 0, 24, 0, 0, 0, 0, 3, 6, 33
"c:\xampp\htdocs\Project3200\scss\bootstrap\utilities\_screenreaders.scss", "SCSS", 0, 6, 0, 0, 0, 0, 3, 3, 12
"c:\xampp\htdocs\Project3200\scss\bootstrap\utilities\_shadows.scss", "SCSS", 0, 4, 0, 0, 0, 0, 1, 2, 7
"c:\xampp\htdocs\Project3200\scss\bootstrap\utilities\_sizing.scss", "SCSS", 0, 11, 0, 0, 0, 0, 3, 7, 21
"c:\xampp\htdocs\Project3200\scss\bootstrap\utilities\_spacing.scss", "SCSS", 0, 64, 0, 0, 0, 0, 4, 6, 74
"c:\xampp\htdocs\Project3200\scss\bootstrap\utilities\_stretched-link.scss", "SCSS", 0, 13, 0, 0, 0, 0, 5, 2, 20
"c:\xampp\htdocs\Project3200\scss\bootstrap\utilities\_text.scss", "SCSS", 0, 39, 0, 0, 0, 0, 11, 23, 73
"c:\xampp\htdocs\Project3200\scss\bootstrap\utilities\_visibility.scss", "SCSS", 0, 6, 0, 0, 0, 0, 4, 4, 14
"c:\xampp\htdocs\Project3200\scss\bootstrap\vendor\_rfs.scss", "SCSS", 0, 126, 0, 0, 0, 0, 43, 36, 205
"c:\xampp\htdocs\Project3200\scss\style.scss", "SCSS", 0, 225, 0, 0, 0, 0, 3, 27, 255
"c:\xampp\htdocs\Project3200\search.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 3, 28
"c:\xampp\htdocs\Project3200\searched_books.php", "PHP", 26, 0, 0, 0, 0, 0, 6, 7, 39
"c:\xampp\htdocs\Project3200\signup.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 1, 30
"c:\xampp\htdocs\Project3200\write_review.php", "PHP", 47, 0, 0, 0, 0, 0, 0, 8, 55
"Total", "-", 1276, 7649, 30758, 56079, 2052, 1660, 7764, 11247, 118485
